word,assisted reproduction of race,data,bioeconomic work,affective capital,cost in €
game,1,1,1,1,110
fix,1,0,0,0,6000
happy,0,0,0,1,6000
your journey,1,0,0,1,-900
melancholy,1,1,1,1,2000
mothers,1,1,0,1,6000
imagination,1,1,0,1,1200
premium,0,1,1,1,700
payment,1,1,0,0,-900
doctor,1,1,1,1,15000
home,1,1,1,1,36000
risk,1,1,1,1,600
obsessive,0,0,1,0,-900
classic,0,1,1,1,110
injecting,0,1,1,1,1450
racial classification,1,1,0,1,110
gold,1,1,1,1,200
blue,0,1,1,1,47
hobbies,1,1,0,1,50
family tree,1,1,0,1,200
quality,0,0,1,1,0
healthy,1,1,1,1,2000
browse,0,1,0,1,0
glycerol,0,0,1,1,241
basket,0,1,0,1,0
contract,0,0,1,0,36000
hope,0,0,1,0,6000
poetry,1,1,0,1,112
melt,0,0,0,1,0
complaints,0,1,0,1,241
silence,1,1,0,1,350
marriages,1,1,1,1,12000
PIN numbers,0,1,1,0,0
micromanipulator tools,0,0,1,1,0
litanies,0,0,1,1,174
promise,1,1,1,1,0
freeze,0,0,1,1,6000
click,1,1,0,1,89
reproducing,1,1,0,1,0
transfers,1,1,0,1,0
drop down list,1,1,0,1,0
default,1,1,0,1,0
glycerol,0,0,1,1,241
surface,1,1,1,1,1000
